date,total_calls,avg_service_time,median_service_time,std_service_time,avg_vru_time,median_vru_time,avg_queue_time,median_queue_time,hangs,hang_rate,efficiency_score
1999-11-26,427,150.03,71.0,257.43,10.94,6.0,86.71,36.0,134,31.38,68.62
1999-11-27,232,201.89,91.0,358.57,18.43,10.0,43.94,0.0,45,19.4,80.6
1999-11-28,1508,164.0,86.0,288.25,8.21,6.0,101.47,43.0,355,23.54,76.46
1999-11-29,1398,193.72,116.0,270.52,9.12,8.0,52.92,10.0,149,10.66,89.34
1999-11-30,1697,171.11,88.0,268.74,8.15,6.0,93.95,43.0,373,21.98,78.02
1999-12-01,1944,137.07,68.0,230.23,10.35,6.0,111.58,59.5,601,30.92,69.08
1999-12-02,1841,157.62,92.0,228.86,9.22,6.0,77.58,34.0,368,19.99,80.01
1999-12-03,651,157.18,91.0,267.16,12.94,6.0,57.04,22.0,168,25.81,74.19
1999-12-04,222,194.84,93.0,555.37,11.73,10.0,14.41,0.0,48,21.62,78.38
1999-12-05,1542,185.68,109.0,290.02,11.18,9.0,47.51,9.0,169,10.96,89.04
1999-12-06,1585,176.83,108.0,225.49,9.76,6.0,48.21,15.0,189,11.92,88.08
1999-12-07,1599,181.14,103.0,266.88,10.64,6.0,60.2,20.0,250,15.63,84.37
1999-12-08,1485,163.64,95.0,237.35,8.94,6.0,74.96,34.0,246,16.57,83.43
1999-12-09,1776,172.67,89.0,382.43,9.57,6.0,104.31,60.0,437,24.61,75.39
1999-12-10,596,139.76,64.0,242.48,13.03,6.0,87.77,27.0,209,35.07,64.93
1999-12-11,322,152.03,61.5,355.5,16.98,10.0,34.63,0.0,86,26.71,73.29
1999-12-12,2203,145.85,73.0,290.55,11.1,6.0,112.14,65.0,708,32.14,67.86
1999-12-13,1874,161.71,92.5,249.31,9.92,6.0,106.45,60.5,492,26.25,73.75
1999-12-14,2038,145.75,75.5,226.12,8.64,6.0,131.83,74.0,663,32.53,67.47
1999-12-15,1890,154.82,85.5,239.11,10.19,6.0,99.4,45.0,530,28.04,71.96
1999-12-16,1833,175.64,99.0,251.27,9.26,6.0,78.1,32.0,361,19.69,80.31
1999-12-17,495,162.98,93.0,218.4,12.41,10.0,16.29,0.0,81,16.36,83.64
1999-12-18,249,161.52,86.0,304.06,11.69,10.0,21.08,0.0,42,16.87,83.13
1999-12-19,1601,175.35,108.0,270.18,9.82,9.0,38.8,0.0,158,9.87,90.13
1999-12-20,1665,179.44,104.0,266.72,9.39,9.0,50.84,8.0,208,12.49,87.51
1999-12-21,1736,162.88,97.5,224.67,8.42,6.0,69.13,27.0,320,18.43,81.57
1999-12-22,1623,168.8,106.0,236.8,9.65,6.0,64.53,23.0,257,15.83,84.17
1999-12-23,1611,182.42,108.0,253.96,9.74,8.0,56.12,14.0,226,14.03,85.97
1999-12-24,487,145.13,83.0,205.42,13.46,11.0,14.18,0.0,73,14.99,85.01
1999-12-25,221,176.43,98.0,298.38,12.81,10.0,15.67,0.0,54,24.43,75.57
1999-12-26,1827,152.15,92.0,204.27,9.72,9.0,37.17,0.0,265,14.5,85.5
1999-12-27,1883,180.47,106.0,253.38,9.43,9.0,47.93,12.0,234,12.43,87.57
1999-12-28,1768,178.95,109.0,234.82,9.41,9.0,49.03,6.0,221,12.5,87.5
1999-12-29,1820,185.26,111.0,258.39,9.84,6.0,64.72,28.0,307,16.87,83.13
1999-12-30,2201,152.76,86.0,225.9,18.3,6.0,55.06,18.0,611,27.76,72.24
1999-12-31,477,176.22,100.0,234.66,12.34,11.0,9.86,0.0,66,13.84,86.16
