date,total_calls,avg_service_time,median_service_time,std_service_time,avg_vru_time,median_vru_time,avg_queue_time,median_queue_time,hangs,hang_rate,efficiency_score
1999-06-08,1823,141.53,66.0,317.39,10.18,6.0,81.25,44.0,511,28.03,71.97
1999-06-09,1786,153.03,89.0,214.95,8.3,6.0,46.6,17.0,236,13.21,86.79
1999-06-10,1695,144.02,76.0,224.15,8.17,6.0,62.18,30.0,325,19.17,80.83
1999-06-11,727,131.58,83.0,175.59,12.76,9.0,21.32,0.0,182,25.03,74.97
1999-06-12,223,82.51,4.0,187.12,13.24,10.0,22.93,0.0,109,48.88,51.12
1999-06-13,1807,155.76,73.0,275.25,8.13,6.0,66.21,35.0,402,22.25,77.75
1999-06-14,1518,136.54,72.0,209.38,9.74,6.0,94.37,43.0,375,24.7,75.3
1999-06-15,1464,151.64,89.0,199.58,9.44,6.0,49.9,16.0,226,15.44,84.56
1999-06-16,1822,130.45,60.0,202.78,8.69,6.0,63.64,29.0,497,27.28,72.72
1999-06-17,1566,161.77,96.0,257.34,8.66,6.0,67.98,24.0,291,18.58,81.42
1999-06-18,503,202.82,68.0,1300.24,14.3,10.0,78.37,0.0,135,26.84,73.16
1999-06-19,181,106.88,11.0,366.41,14.12,10.0,8.83,0.0,84,46.41,53.59
1999-06-20,1657,170.29,97.0,254.98,9.49,6.0,50.81,15.0,250,15.09,84.91
1999-06-21,1614,175.69,102.5,266.86,8.39,6.0,63.79,23.0,276,17.1,82.9
1999-06-22,1429,188.3,107.0,538.75,9.92,9.0,28.56,0.0,104,7.28,92.72
1999-06-23,1306,167.48,104.0,209.02,9.19,8.0,45.7,4.0,144,11.03,88.97
1999-06-24,1280,167.76,104.0,210.34,11.2,8.0,49.2,9.0,152,11.88,88.12
1999-06-25,438,123.61,78.5,151.7,13.68,12.0,10.02,0.0,109,24.89,75.11
1999-06-26,148,107.82,16.5,176.57,12.94,11.0,20.04,0.0,63,42.57,57.43
1999-06-27,1357,163.29,103.0,194.74,10.12,9.0,28.83,0.0,110,8.11,91.89
1999-06-28,1357,172.75,108.0,240.75,9.91,6.0,59.27,17.0,210,15.48,84.52
1999-06-29,1378,168.98,99.0,240.47,10.52,9.0,27.77,0.0,115,8.35,91.65
1999-06-30,1453,158.82,100.0,202.09,9.22,9.0,40.6,0.0,161,11.08,88.92
1999-07-01,1974,141.16,82.0,210.81,8.62,6.0,67.7,31.0,393,19.91,80.09
1999-07-02,951,134.44,87.0,188.14,10.87,9.0,39.58,13.0,180,18.93,81.07
1999-07-03,256,81.02,1.0,154.34,13.23,10.0,21.49,0.0,127,49.61,50.39
1999-07-04,2589,102.65,46.0,178.71,9.04,6.0,104.03,59.0,926,35.77,64.23
1999-07-05,2132,116.86,54.0,193.32,10.75,6.0,86.8,46.0,724,33.96,66.04
1999-07-06,1776,137.93,81.0,199.52,7.5,6.0,93.29,59.0,436,24.55,75.45
1999-07-07,1522,152.64,87.0,227.18,9.99,6.0,64.51,25.0,277,18.2,81.8
1999-07-08,1599,151.84,87.0,240.26,9.43,6.0,67.35,35.0,286,17.89,82.11
1999-07-09,615,133.77,78.0,184.78,11.3,9.0,25.3,0.0,114,18.54,81.46
1999-07-10,179,106.6,1.0,354.23,12.73,10.0,20.13,0.0,88,49.16,50.84
1999-07-11,1898,131.47,66.0,229.93,8.42,6.0,84.74,51.5,472,24.87,75.13
1999-07-12,1793,148.65,82.0,260.17,11.08,6.0,79.37,45.0,403,22.48,77.52
1999-07-13,1745,148.72,80.0,239.23,9.34,6.0,81.49,41.0,401,22.98,77.02
